,Has Online delivery,Is delivering now,Price range,Votes,Num_of_Cuisines,Dollar_Standard_Avg_Cost_2,Australia,Botswana,Brazil,Canada,India,Indonesia,New Zealand,Qatar,Singapore,South Africa,Sri Lanka,Turkey,UAE,UK,USA,Val_Mon
2259,1,0,1,13,2,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6206896551724138
2261,0,0,1,6,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0344827586206897
2262,1,0,2,153,2,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.545454545454546
2263,1,0,1,151,1,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5294117647058824
2264,0,0,1,12,2,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7499999999999999
2265,1,0,1,89,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5999999999999999
2266,1,0,2,122,1,6.6000000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1290322580645165
2267,0,0,1,83,5,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7777777777777777
2268,0,0,1,7,1,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8275862068965517
2269,0,0,2,21,1,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5161290322580645
2270,0,0,1,66,2,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6857142857142857
2271,1,0,2,69,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
2272,1,0,1,60,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8333333333333333
2273,1,0,2,369,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6666666666666665
2274,0,0,1,63,2,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2972972972972971
2276,1,0,1,83,2,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
2277,1,0,1,142,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1818181818181817
2278,0,0,3,36,2,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.875
2279,0,0,3,394,2,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0869565217391304
2280,0,0,3,360,4,16.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.307692307692308
2281,0,0,2,126,1,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5319148936170213
2282,0,0,2,290,1,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4634146341463417
2283,0,0,3,110,2,16.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
2284,0,0,3,304,2,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1951219512195124
2285,0,0,3,129,4,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.545454545454545
2286,0,0,4,222,2,19.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
2287,0,0,2,124,3,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4634146341463417
2288,0,0,2,28,3,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
